# j 	 x_j
942	-1.47942
943	-1.41507
944	-1.4424
945	-1.40784
946	-1.59315
947	-1.55813
948	-1.65582
949	-1.53368
950	-2.31713
951	-2.11892
952	-2.39368
953	-1.86568
954	-1.55041
955	-1.77981
956	-1.32232
957	-1.41887
958	-1.47933
959	-1.51779
960	-2.11407
961	-2.21346
962	-1.92729
963	-1.91631
964	-1.80057
965	-1.56858
966	-1.51092
967	-1.13565
968	-1.01909
969	-0.58621
970	-1.0344
971	-0.744377
972	-0.631587
973	-0.175036
974	0.154844
975	1.09262
976	1.21352
977	1.1956
978	1.28351
979	1.59277
980	1.29494
981	1.34393
982	1.16226
983	1.21194
984	1.42417
985	1.28164
986	1.45926
987	1.33308
988	1.46492
989	1.46115
990	1.91211
991	2.01454
992	2.10444
993	2.18585
994	1.64732
995	2.28484
996	1.96366
997	2.33918
998	2.20374
999	2.64688
